Date,Athlete,Rule Set,Place,Prize Money
03/01/2026,Diego Silva,Judo,Gold,9899
03/01/2026,Aisha Khan,Judo,Gold,14129
03/01/2026,Mateo García,Judo,Not Placed,0
03/01/2026,Fatima Al-Mansouri,Judo,Silver,6900
03/01/2026,Chen Wei,Judo,Silver,7568
03/01/2026,Kwame Mensah,Jiu-Jitsu,Gold,8673
03/01/2026,Emily Connor,Judo,Gold,13480
03/01/2026,Sofia Rossi,Judo,Bronze,1168
03/01/2026,Lars Johansson,Jiu-Jitsu,Bronze,972
03/01/2026,Hiroshi Tanaka,Jiu-Jitsu,Not Placed,0
04/01/2026,Hiroshi Tanaka,Jiu-Jitsu,Top 10,389
04/01/2026,Chen Wei,Judo,Top 10,206
04/01/2026,Emily Connor,Judo,Silver,1924
04/01/2026,Sofia Rossi,Jiu-Jitsu,Gold,12152
04/01/2026,Lars Johansson,Jiu-Jitsu,Not Placed,0
04/01/2026,Fatima Al-Mansouri,Judo,Not Placed,0
04/01/2026,Mateo García,Jiu-Jitsu,Gold,6482
04/01/2026,Diego Silva,Jiu-Jitsu,Not Placed,0
04/01/2026,Kwame Mensah,Judo,Bronze,987
04/01/2026,Aisha Khan,Jiu-Jitsu,Bronze,2597
10/01/2026,Lars Johansson,Jiu-Jitsu,Bronze,2213
10/01/2026,Emily Connor,Judo,Not Placed,0
10/01/2026,Diego Silva,Judo,Top 10,107
10/01/2026,Aisha Khan,Jiu-Jitsu,Bronze,2531
10/01/2026,Sofia Rossi,Judo,Not Placed,0
10/01/2026,Chen Wei,Jiu-Jitsu,Not Placed,0
10/01/2026,Kwame Mensah,Jiu-Jitsu,Gold,13209
10/01/2026,Mateo García,Jiu-Jitsu,Silver,5944
10/01/2026,Hiroshi Tanaka,Judo,Bronze,1181
11/01/2026,Lars Johansson,Judo,Silver,2457
11/01/2026,Diego Silva,Judo,Top 10,284
11/01/2026,Kwame Mensah,Jiu-Jitsu,Silver,6597
11/01/2026,Chen Wei,Judo,Not Placed,0
11/01/2026,Hiroshi Tanaka,Jiu-Jitsu,Bronze,2471
11/01/2026,Sofia Rossi,Judo,Silver,7985
11/01/2026,Aisha Khan,Judo,Bronze,1314
17/01/2026,Hiroshi Tanaka,Jiu-Jitsu,Top 10,148
17/01/2026,Mateo García,Judo,Not Placed,0
17/01/2026,Lars Johansson,Jiu-Jitsu,Gold,8837
17/01/2026,Aisha Khan,Judo,Silver,3368
17/01/2026,Fatima Al-Mansouri,Jiu-Jitsu,Bronze,1971
17/01/2026,Sofia Rossi,Judo,Top 10,282
17/01/2026,Emily Connor,Jiu-Jitsu,Gold,10334
17/01/2026,Chen Wei,Jiu-Jitsu,Silver,4655
18/01/2026,Aisha Khan,Judo,Top 10,351
18/01/2026,Fatima Al-Mansouri,Judo,Top 10,380
18/01/2026,Hiroshi Tanaka,Judo,Silver,6322
18/01/2026,Mateo García,Judo,Not Placed,0
18/01/2026,Chen Wei,Judo,Top 10,224
18/01/2026,Emily Connor,Judo,Not Placed,0
18/01/2026,Lars Johansson,Jiu-Jitsu,Top 10,485
18/01/2026,Kwame Mensah,Jiu-Jitsu,Top 10,204
24/01/2026,Aisha Khan,Jiu-Jitsu,Gold,10525
24/01/2026,Diego Silva,Jiu-Jitsu,Silver,7854
24/01/2026,Sofia Rossi,Judo,Top 10,360
24/01/2026,Mateo García,Jiu-Jitsu,Not Placed,0
24/01/2026,Chen Wei,Judo,Silver,5646
24/01/2026,Hiroshi Tanaka,Judo,Silver,3737
24/01/2026,Kwame Mensah,Judo,Silver,4409
25/01/2026,Diego Silva,Judo,Not Placed,0
25/01/2026,Lars Johansson,Jiu-Jitsu,Silver,7998
25/01/2026,Emily Connor,Jiu-Jitsu,Gold,14537
25/01/2026,Kwame Mensah,Judo,Top 10,470
25/01/2026,Chen Wei,Judo,Not Placed,0
31/01/2026,Hiroshi Tanaka,Jiu-Jitsu,Top 10,442
31/01/2026,Mateo García,Judo,Gold,8498
31/01/2026,Emily Connor,Judo,Top 10,216
31/01/2026,Lars Johansson,Jiu-Jitsu,Silver,7461
01/02/2026,Hiroshi Tanaka,Jiu-Jitsu,Gold,6742
01/02/2026,Sofia Rossi,Judo,Gold,13964
01/02/2026,Lars Johansson,Jiu-Jitsu,Top 10,345
01/02/2026,Kwame Mensah,Jiu-Jitsu,Top 10,277
01/02/2026,Mateo García,Judo,Not Placed,0
01/02/2026,Aisha Khan,Judo,Gold,10870
07/02/2026,Mateo García,Jiu-Jitsu,Silver,7230
07/02/2026,Lars Johansson,Judo,Not Placed,0
07/02/2026,Sofia Rossi,Judo,Not Placed,0
07/02/2026,Kwame Mensah,Judo,Silver,6998
07/02/2026,Emily Connor,Judo,Silver,5200
07/02/2026,Aisha Khan,Jiu-Jitsu,Silver,7433
07/02/2026,Diego Silva,Judo,Gold,7305
07/02/2026,Chen Wei,Judo,Gold,9897
07/02/2026,Fatima Al-Mansouri,Judo,Top 10,421
07/02/2026,Hiroshi Tanaka,Jiu-Jitsu,Bronze,1459
08/02/2026,Kwame Mensah,Jiu-Jitsu,Bronze,1759
08/02/2026,Hiroshi Tanaka,Judo,Top 10,455
08/02/2026,Lars Johansson,Judo,Not Placed,0
14/02/2026,Fatima Al-Mansouri,Judo,Top 10,409
14/02/2026,Mateo García,Judo,Not Placed,0
14/02/2026,Diego Silva,Jiu-Jitsu,Gold,14656
14/02/2026,Emily Connor,Jiu-Jitsu,Silver,7283
14/02/2026,Chen Wei,Jiu-Jitsu,Not Placed,0
14/02/2026,Aisha Khan,Jiu-Jitsu,Top 10,228
14/02/2026,Sofia Rossi,Jiu-Jitsu,Top 10,201
15/02/2026,Sofia Rossi,Jiu-Jitsu,Silver,4964
15/02/2026,Emily Connor,Jiu-Jitsu,Top 10,479
15/02/2026,Chen Wei,Jiu-Jitsu,Silver,7032
21/02/2026,Lars Johansson,Judo,Silver,2967
21/02/2026,Hiroshi Tanaka,Judo,Not Placed,0
21/02/2026,Fatima Al-Mansouri,Jiu-Jitsu,Bronze,2795
21/02/2026,Emily Connor,Jiu-Jitsu,Silver,4289
21/02/2026,Kwame Mensah,Jiu-Jitsu,Bronze,1839
21/02/2026,Aisha Khan,Judo,Bronze,1400
21/02/2026,Sofia Rossi,Judo,Gold,7594
21/02/2026,Mateo García,Jiu-Jitsu,Silver,2032
21/02/2026,Diego Silva,Judo,Silver,5748
22/02/2026,Chen Wei,Jiu-Jitsu,Gold,9998
22/02/2026,Sofia Rossi,Judo,Gold,14810
22/02/2026,Emily Connor,Jiu-Jitsu,Bronze,2954
22/02/2026,Mateo García,Jiu-Jitsu,Not Placed,0
22/02/2026,Hiroshi Tanaka,Judo,Not Placed,0
22/02/2026,Fatima Al-Mansouri,Jiu-Jitsu,Not Placed,0
22/02/2026,Diego Silva,Jiu-Jitsu,Top 10,325
28/02/2026,Aisha Khan,Jiu-Jitsu,Top 10,238
28/02/2026,Mateo García,Judo,Bronze,2533
28/02/2026,Kwame Mensah,Judo,Not Placed,0
28/02/2026,Emily Connor,Jiu-Jitsu,Silver,7439
28/02/2026,Chen Wei,Jiu-Jitsu,Gold,13245
28/02/2026,Lars Johansson,Judo,Top 10,140
28/02/2026,Hiroshi Tanaka,Jiu-Jitsu,Top 10,348
28/02/2026,Sofia Rossi,Judo,Top 10,449
28/02/2026,Diego Silva,Jiu-Jitsu,Silver,3463
28/02/2026,Fatima Al-Mansouri,Jiu-Jitsu,Gold,8475
01/03/2026,Emily Connor,Jiu-Jitsu,Silver,6715
01/03/2026,Chen Wei,Jiu-Jitsu,Bronze,1906
01/03/2026,Kwame Mensah,Judo,Not Placed,0
01/03/2026,Hiroshi Tanaka,Jiu-Jitsu,Silver,3445
01/03/2026,Lars Johansson,Judo,Bronze,810
07/03/2026,Kwame Mensah,Judo,Top 10,175
07/03/2026,Aisha Khan,Jiu-Jitsu,Top 10,375
07/03/2026,Chen Wei,Judo,Top 10,181
07/03/2026,Mateo García,Judo,Silver,5932
07/03/2026,Sofia Rossi,Jiu-Jitsu,Not Placed,0
07/03/2026,Fatima Al-Mansouri,Jiu-Jitsu,Gold,6822
08/03/2026,Sofia Rossi,Jiu-Jitsu,Top 10,256
08/03/2026,Fatima Al-Mansouri,Jiu-Jitsu,Gold,12680
08/03/2026,Hiroshi Tanaka,Judo,Silver,6670
08/03/2026,Kwame Mensah,Judo,Bronze,2842
